dist Inļ🂱kech = 28.792360, tpl = 398.918549, td = 520.220154
dist HARIBO = 31.064449, tpl = 499.852966, td = 51.623638
dist I am noby = 26.305893, tpl = 633.202209, td = 60.083275
dist Inļ🂱kech = 33.015148, tpl = 399.395782, td = 240.800751
dist Koyot = 34.205261, tpl = 399.169128, td = 431.027832
dist :Ram = 26.248810, tpl = 399.125305, td = 355.647308
dist :Ram = 36.069378, tpl = 399.422089, td = 772.738647
dist HARIBO = 32.802441, tpl = 124.016129, td = 10.000000
dist I am noby = 0.000000, tpl = 632.463440, td = 726.735840
dist Inļ🂱kech = 33.015148, tpl = 399.836212, td = 654.288147
dist I am noby = 0.000000, tpl = 633.028442, td = 5.000000
dist Koyot = 0.000000, tpl = 368.913269, td = 360.534332
dist Inļ🂱kech = 27.459061, tpl = 399.892487, td = 763.395020
dist Koyot = 0.000000, tpl = 399.530975, td = 322.620514
dist I am noby = 0.000000, tpl = 630.292786, td = 523.095581
dist daverck = 0.000000, tpl = 219.237320, td = 150.950317
dist daverck = 0.000000, tpl = 349.631226, td = 62.936478
dist I am noby = 24.041630, tpl = 496.729309, td = 60.000000
dist HARIBO = 11.401754, tpl = 124.486946, td = 24.515301
dist I am noby = 4.000000, tpl = 632.463440, td = 324.211365
dist :Ram = 0.000000, tpl = 399.370758, td = 440.964844
dist I am noby = 14.212670, tpl = 345.407013, td = 57.939625
dist :Ram = 35.902645, tpl = 399.439606, td = 420.029755
dist daverck = 20.000000, tpl = 321.686188, td = 323.858002
dist I am noby = 28.635643, tpl = 215.188293, td = 0.000000
dist Inļ🂱kech = 11.180340, tpl = 399.719910, td = 682.493225
dist Koyot = 0.000000, tpl = 399.656097, td = 561.894104
dist Koyot = 0.000000, tpl = 399.115265, td = 394.807556
dist Koyot = 0.000000, tpl = 399.696136, td = 780.636902
dist HARIBO = 23.345236, tpl = 69.354164, td = 159.590103
dist :Ram = 14.317822, tpl = 398.943604, td = 646.177246
dist daverck = 0.000000, tpl = 344.843445, td = 8.485281
dist Koyot = 21.095022, tpl = 399.325684, td = 130.923645
dist Inļ🂱kech = 21.095022, tpl = 399.321930, td = 502.606201
dist daverck = 7.810250, tpl = 324.863037, td = 28.792360
dist :Ram = 24.839485, tpl = 399.722412, td = 583.246948
dist HARIBO = 0.000000, tpl = 499.064117, td = 5.000000
dist Inļ🂱kech = 35.846897, tpl = 399.061401, td = 732.757141
dist HARIBO = 19.798990, tpl = 124.555206, td = 29.966648
dist Koyot = 32.388271, tpl = 399.729919, td = 159.326706
dist HARIBO = 12.206555, tpl = 124.342270, td = 375.329193
dist :Ram = 0.000000, tpl = 399.260559, td = 527.655212
dist I am noby = 0.000000, tpl = 517.471741, td = 114.825958
dist daverck = 0.000000, tpl = 199.203415, td = 88.000000
dist Koyot = 17.720045, tpl = 399.540985, td = 770.343445
dist I am noby = 34.713108, tpl = 591.030457, td = 72.993149
dist Inļ🂱kech = 0.000000, tpl = 399.696136, td = 499.264465
dist HARIBO = 24.207438, tpl = 121.198181, td = 14.560220
dist :Ram = 0.000000, tpl = 399.000000, td = 82.219215
dist Koyot = 0.000000, tpl = 155.618118, td = 349.688446
dist I am noby = 0.000000, tpl = 448.073669, td = 171.026306
dist :Ram = 31.764761, tpl = 399.664856, td = 258.660004
dist Koyot = 0.000000, tpl = 399.325684, td = 749.413086
dist Inļ🂱kech = 0.000000, tpl = 399.624817, td = 685.510742
dist I am noby = 30.083218, tpl = 632.823059, td = 414.366974
dist I am noby = 32.649654, tpl = 371.704193, td = 76.367531
dist Inļ🂱kech = 25.317978, tpl = 399.530975, td = 746.921692
dist HARIBO = 0.000000, tpl = 499.119232, td = 4.000000
dist Koyot = 32.526913, tpl = 275.392456, td = 501.965149
dist Inļ🂱kech = 13.000000, tpl = 399.224243, td = 356.770233
dist HARIBO = 23.345236, tpl = 123.810341, td = 8.602325
dist Flam = 21.213203, tpl = 398.923553, td = 120.341179
dist :Ram = 3.605551, tpl = 399.344452, td = 524.034363
dist daverck = 0.000000, tpl = 78.294319, td = 53.907330
dist Flam = 34.713108, tpl = 399.626068, td = 604.315308
dist daverck = 21.023796, tpl = 399.299377, td = 10.000000
dist HARIBO = 0.000000, tpl = 499.064117, td = 76.321686
dist daverck = 21.023796, tpl = 399.370758, td = 83.761566
dist HARIBO = 31.953091, tpl = 97.082436, td = 44.407207
dist :Ram = 36.235340, tpl = 399.011292, td = 364.321289
